15562 250
88 12 81
12 34 25
34 169 29
12 103 83
34 21 99
12 159 88
88 193 94
21 123 18
159 132 33
21 24 92
88 37 40
12 227 7
37 163 26
132 100 2
88 35 65
24 54 90
193 237 31
21 222 31
88 16 55
21 77 19
237 1 30
21 223 79
24 160 58
1 105 14
227 13 59
77 18 4
88 96 80
227 118 73
159 25 59
169 56 49
56 84 30
84 187 28
96 244 7
54 27 90
193 116 19
237 232 32
123 177 68
35 209 34
169 3 11
237 49 89
12 122 79
54 210 49
187 15 25
105 19 46
118 151 43
27 5 34
25 216 33
103 156 85
5 39 33
27 29 24
77 117 81
88 208 31
160 10 89
49 228 100
116 26 66
187 171 71
223 199 82
24 93 100
160 167 68
199 14 46
54 95 67
27 51 63
163 221 83
49 233 99
37 246 26
25 22 63
246 242 18
88 73 86
199 38 3
35 111 69
37 184 57
27 114 12
5 164 87
171 133 45
159 94 49
51 6 39
232 136 36
84 143 48
93 219 20
116 72 45
143 124 10
219 201 5
169 87 96
124 165 24
246 235 37
227 78 56
73 180 27
19 248 86
171 149 57
136 85 95
117 71 51
85 213 43
38 0 51
169 138 96
1 140 88
222 240 55
34 63 30
39 20 98
160 64 12
136 158 74
100 186 67
246 188 56
12 45 93
87 214 36
19 70 95
158 48 70
219 128 69
63 104 55
95 157 43
221 92 81
123 68 100
232 17 19
37 112 68
29 231 85
124 182 21
95 239 34
246 170 35
78 4 19
133 126 34
63 134 42
118 183 32
17 192 92
64 107 64
143 32 86
73 161 5
177 52 5
51 203 73
93 173 64
52 97 42
184 129 77
192 2 56
3 135 55
151 82 55
240 148 39
78 43 57
170 102 100
1 230 48
51 120 65
216 11 79
37 176 21
183 236 20
111 75 52
210 178 34
161 41 56
170 115 23
118 62 63
180 98 20
116 30 12
10 119 23
132 200 98
244 109 19
230 166 70
38 181 28
21 220 66
68 91 18
56 79 85
14 190 58
214 101 71
79 224 56
77 162 64
22 238 14
14 106 11
71 146 65
171 145 52
186 206 27
145 204 44
134 28 51
222 226 10
134 76 63
27 130 91
116 8 54
1 42 16
239 47 93
101 196 28
119 86 98
248 229 9
180 217 84
170 60 47
193 46 13
146 7 38
91 31 67
107 61 50
6 141 66
95 189 8
26 139 15
116 33 4
216 174 32
210 175 77
25 66 43
52 121 14
54 137 12
94 67 92
86 172 6
133 127 59
219 245 99
98 150 43
11 44 84
48 89 19
186 198 2
76 155 2
4 194 49
174 83 50
237 53 46
242 247 53
176 234 66
24 113 96
173 59 16
169 197 21
53 195 94
209 23 95
33 69 75
161 131 66
48 215 88
229 81 78
139 154 80
120 185 3
56 9 76
31 179 79
69 80 43
103 57 42
167 225 78
203 144 36
49 50 88
23 142 63
5 202 67
173 249 88
26 241 2
138 207 23
164 55 70
0 191 78
184 168 72
192 99 51
210 40 61
215 58 82
40 65 67
234 108 12
46 147 82
157 90 56
42 243 12
231 152 64
85 153 37
56 212 44
135 74 41
243 36 84
58 125 8
200 110 9
75 211 9
29 218 100
231 205 78
17 229 50
100 135 32
34 82 9
85 248 62
23 220 75
16 246 63
151 164 87
48 109 78
58 243 78
16 171 33
98 102 65
138 234 49
104 206 94
146 229 55
9 130 53
12 37 18
20 79 92
28 60 98
51 216 72
202 240 57
21 37 34
154 246 80
125 152 79
153 211 10
35 74 74
209 215 9
188 220 56
157 230 68
66 213 66
141 216 7
91 242 81
125 238 75
174 245 12
126 150 46
67 239 75
92 185 93
209 240 39
82 139 85
0 142 98
4 108 95
62 232 17
9 36 73
165 175 18
52 70 24
59 100 93
74 158 60
64 157 95
2 12 62
72 236 45
19 144 9
192 203 41
13 206 43
115 247 6
31 181 41
40 101 29
109 227 86
172 244 72
158 177 16
110 138 80
35 147 85
46 61 10
111 163 86
76 97 54
44 237 72
93 216 27
205 225 92
62 143 85
141 215 81
32 211 96
140 167 80
66 211 74
112 209 49
27 184 96
1 167 47
19 95 76
28 59 78
25 231 35
33 174 28
154 169 28
151 245 29
140 141 53
12 165 79
10 233 61
133 164 48
96 239 66
87 148 66
213 243 64
196 198 62
114 115 30
208 235 13
188 221 95
150 248 90
146 241 98
43 134 41
30 233 17
16 71 68
4 69 39
161 167 57
131 211 55
60 190 6
2 63 95
112 191 36
106 216 33
3 230 83
124 210 85
16 33 44
115 160 33
18 35 66
59 88 12
91 226 90
0 44 61
102 206 73
8 155 64
74 147 48
98 103 51
11 158 18
55 68 12
88 237 77
51 162 28
218 221 41
30 127 18
84 239 77
5 58 3
7 82 45
136 239 64
132 176 27
19 202 31
83 171 12
2 126 52
122 194 20
63 246 91
50 189 39
64 191 0
34 154 21
11 183 9
22 124 76
30 50 53
42 205 6
7 87 34
105 154 93
115 179 66
121 188 40
63 72 79
100 174 85
198 219 0
36 179 73
47 162 61
61 143 6
6 215 54
48 58 42
59 110 31
20 99 80
56 117 65
162 194 12
108 213 95
211 249 44
40 200 12
219 226 36
90 171 14
47 145 38
35 244 19
14 148 42
30 180 4
169 202 37
23 216 38
20 28 60
10 200 45
144 208 92
14 29 48
52 93 17
106 136 20
83 167 93
13 199 40
8 140 5
10 115 100
43 113 55
192 225 0
91 225 28
13 200 64
18 175 32
84 90 67
16 141 12
91 187 91
93 212 91
116 148 20
4 105 3
59 239 8
50 246 40
20 115 100
5 198 2
67 222 16
59 209 31
5 24 76
15 109 56
119 203 3
130 221 66
53 244 72
72 92 68
22 40 84
118 148 40
27 155 7
109 226 30
123 216 3
220 225 91
26 31 5
172 212 79
4 158 81
0 178 33
119 177 3
129 169 62
31 71 93
54 197 71
196 217 63
163 218 25
64 148 33
43 162 74
41 149 71
76 100 38
11 217 38
38 124 78
108 189 96
15 71 54
58 223 31
116 153 52
93 186 97
34 220 78
32 58 86
55 239 24
0 53 8
