7781 250
92 159 35
92 7 2
159 197 16
197 30 47
92 15 99
7 232 57
197 201 79
232 202 97
202 217 6
7 23 79
159 67 42
67 171 98
67 156 39
92 174 52
23 127 9
202 79 15
79 101 67
159 213 36
201 135 85
127 184 51
202 17 84
67 48 48
174 58 13
30 148 80
127 180 13
17 44 52
197 104 74
159 246 76
127 136 70
17 76 34
201 237 45
76 64 100
174 176 18
156 195 62
67 41 49
30 102 13
171 211 78
41 203 53
176 240 50
79 45 24
44 74 17
44 3 25
104 116 50
184 160 96
92 169 50
156 99 3
58 60 91
169 56 91
99 57 30
237 242 39
41 90 29
232 59 62
57 16 78
76 55 8
76 50 48
59 106 71
135 168 88
74 112 50
3 249 4
76 226 70
56 21 1
16 125 83
102 173 45
58 200 82
148 33 73
74 27 65
59 216 36
160 247 5
57 154 71
249 119 6
240 9 74
92 140 73
67 118 99
56 161 68
101 47 10
176 187 55
240 243 46
249 84 70
169 111 5
92 85 26
197 31 6
101 158 92
85 100 69
237 19 72
58 75 95
216 175 99
9 51 44
119 98 26
56 155 89
237 183 81
84 13 65
23 2 6
102 239 19
174 96 14
50 194 58
213 152 40
3 229 11
232 37 26
243 123 46
57 189 9
60 245 4
56 20 43
75 113 13
249 241 84
41 63 61
59 204 7
90 8 31
8 28 96
155 34 8
119 105 36
152 103 99
168 54 39
104 143 69
197 1 7
136 177 47
158 164 95
242 126 54
169 110 0
45 205 68
96 234 88
243 218 28
175 72 22
169 151 12
27 39 90
189 225 60
205 235 88
76 68 93
15 4 71
229 179 72
154 165 39
101 132 50
111 86 36
67 137 58
137 114 43
187 228 81
184 14 80
125 167 22
68 206 79
104 18 46
247 144 30
110 231 23
234 91 43
175 224 89
2 220 56
67 238 82
137 78 63
201 35 53
118 149 57
183 62 73
148 248 25
123 95 19
58 81 92
231 145 68
95 122 44
167 162 60
14 0 2
54 26 85
225 233 38
2 5 45
100 198 73
58 61 2
218 214 33
92 24 53
5 141 0
81 178 40
238 130 85
226 38 65
162 199 73
162 129 14
33 82 71
33 172 57
82 244 39
72 66 52
96 107 82
16 88 26
54 42 5
75 212 38
7 188 34
188 83 42
61 94 61
149 227 46
104 49 6
167 108 31
143 80 27
28 131 9
13 124 33
211 25 26
216 134 42
63 210 1
44 121 27
242 53 77
25 146 33
62 185 17
126 77 4
101 193 86
112 12 42
92 73 41
159 22 14
123 191 54
0 6 9
51 32 50
84 215 30
231 120 42
135 36 59
202 221 56
124 196 13
101 236 87
176 166 10
17 11 55
216 208 82
238 186 72
179 117 98
197 46 47
165 10 62
100 40 81
59 153 81
14 223 27
3 29 14
203 219 56
201 93 40
213 43 22
59 150 39
203 163 46
93 71 86
85 138 24
36 89 100
239 222 66
201 182 19
11 115 72
164 87 15
127 157 3
164 170 8
58 230 32
12 109 14
150 190 79
13 142 10
187 207 61
185 192 100
192 70 51
169 209 48
30 139 77
6 181 48
50 52 67
238 147 18
195 65 49
178 133 55
170 69 34
16 97 84
153 128 42
15 65 67
151 238 43
122 244 74
163 173 8
31 221 39
54 135 23
47 148 6
51 197 71
96 231 88
81 193 7
25 137 85
150 198 100
7 65 34
197 204 4
63 70 23
10 195 75
176 229 16
26 108 69
10 83 98
17 48 50
83 117 94
76 118 91
7 73 100
48 68 9
120 241 34
87 225 82
43 223 85
85 151 58
46 215 47
51 176 32
9 211 80
14 77 100
104 131 83
35 95 92
71 141 35
28 154 13
47 54 57
90 185 36
137 198 35
83 141 51
1 230 2
148 215 4
192 199 80
36 169 61
22 44 58
103 106 78
61 68 2
108 176 41
67 168 72
4 201 7
41 144 82
78 228 68
65 97 81
134 168 0
35 177 33
91 154 13
57 117 98
74 88 70
106 201 78
29 214 83
120 179 98
91 105 22
58 71 100
55 115 70
130 165 9
119 139 76
35 175 25
40 181 68
152 221 46
24 106 61
44 96 84
0 205 5
13 208 91
32 70 54
70 219 66
69 234 7
82 201 49
